id,label,post_count
iran,iran,91
president,president,76
trump,trump,74
donald,donald,60
military,military,39
states,states,38
united,united,38
america,america,34
world,world,26
country,country,25
now,now,25
oil,oil,23
strait,strait,23
hormuz,hormuz,22
middle,middle,20
east,east,19
regime,regime,18
deal,deal,17
nuclear,nuclear,17
again,again,16
far,far,16
djt,djt,15
war,war,15
about,about,14
american,american,14
attack,attack,14
iran's,iran's,14
left,left,14
only,only,13
else,else,12
