post_id,ts_utc,date_et,session,pnl,pre_sv,vpinz_pre,entry_price,exit_price
115996876595468758,2026-02-01T18:51:11Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
115996877078140560,2026-02-01T18:51:19Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
115996877735403531,2026-02-01T18:51:29Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
115996878303059833,2026-02-01T18:51:37Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
115996878882880603,2026-02-01T18:51:46Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
115996879370262562,2026-02-01T18:51:54Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
115996882630849069,2026-02-01T18:52:43Z,2026-02-01,weekend,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
116001495092642291,2026-02-02T14:25:44Z,2026-02-02,pre_market,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
116002095109616255,2026-02-02T16:58:20Z,2026-02-02,regular,-3558560.662689209,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219
116013105630663812,2026-02-04T15:38:27Z,2026-02-04,regular,44825.98457336426,213458.0,2.0061255366531245,76.41000366210938,76.62000274658203
116049014529870682,2026-02-10T23:50:33Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116049016029391163,2026-02-10T23:50:56Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116049018753880504,2026-02-10T23:51:38Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116049020221132395,2026-02-10T23:52:00Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116049022411044647,2026-02-10T23:52:33Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116049024324119533,2026-02-10T23:53:03Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116049030986794379,2026-02-10T23:54:44Z,2026-02-10,after_hours,0.0,0.0,1.1733173697120682,77.96,78.68
116083267723811706,2026-02-17T01:01:35Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083269727224876,2026-02-17T01:02:06Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083271828191452,2026-02-17T01:02:38Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083274172061013,2026-02-17T01:03:14Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083530388167523,2026-02-17T02:08:23Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083530917124809,2026-02-17T02:08:31Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083531557715615,2026-02-17T02:08:41Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083532244475357,2026-02-17T02:08:52Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083532769140354,2026-02-17T02:09:00Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083533250062812,2026-02-17T02:09:07Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083533873011232,2026-02-17T02:09:17Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083534327996449,2026-02-17T02:09:23Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083538418810885,2026-02-17T02:10:26Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083539591551122,2026-02-17T02:10:44Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083540250496291,2026-02-17T02:10:54Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083541144234890,2026-02-17T02:11:07Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083541625057957,2026-02-17T02:11:15Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083542092282954,2026-02-17T02:11:22Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083542631076246,2026-02-17T02:11:30Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083545552204769,2026-02-17T02:12:15Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083546136249613,2026-02-17T02:12:24Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083546620753530,2026-02-17T02:12:31Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116083547108869974,2026-02-17T02:12:38Z,2026-02-16,after_hours,0.0,0.0,1.092404628193713,76.2396,76.8
116086580181836254,2026-02-17T15:03:59Z,2026-02-17,regular,1597362.734527588,-2384130.0,0.8910621203249598,76.13999938964844,75.47000122070312
116094690568794039,2026-02-19T01:26:34Z,2026-02-18,after_hours,0.0,0.0,0.8389414349829921,79.12,80.08
116167506001380470,2026-03-03T22:04:29Z,2026-03-03,after_hours,-0.0,0.0,1.7635362966375998,91.2689,90.85
116202054617775180,2026-03-10T00:30:40Z,2026-03-09,after_hours,0.0,0.0,0.9153016781792496,106.5863,107.32
116268200625887787,2026-03-21T16:52:28Z,2026-03-21,weekend,0.0,0.0,0.6226274292949713,119.73,123.78
116278963291413739,2026-03-23T14:29:33Z,2026-03-23,regular,-31925405.58570099,10298523.0,0.7902063194934078,111.45999908447266,108.36000061035156
116285866660628943,2026-03-24T19:45:10Z,2026-03-24,regular,5004071.402840229,-1213137.0,0.507748394410191,114.13500213623048,110.0101
116285893161347117,2026-03-24T19:51:54Z,2026-03-24,regular,930069.1853508308,-201619.0,0.5493386831931092,114.28500366210938,109.672
116285900153878228,2026-03-24T19:53:41Z,2026-03-24,regular,930069.1853508308,-201619.0,0.5493386831931092,114.28500366210938,109.672
116285903958791106,2026-03-24T19:54:39Z,2026-03-24,regular,930069.1853508308,-201619.0,0.5493386831931092,114.28500366210938,109.672
116285906390195915,2026-03-24T19:55:16Z,2026-03-24,regular,493021.6171020514,-111166.0,0.5830918457306365,114.53500366210938,110.1
116285908636437489,2026-03-24T19:55:50Z,2026-03-24,regular,493021.6171020514,-111166.0,0.5830918457306365,114.53500366210938,110.1
116285916990204668,2026-03-24T19:57:58Z,2026-03-24,regular,493021.6171020514,-111166.0,0.5830918457306365,114.53500366210938,110.1
