topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
market_economy,Markets / Economy,QQQ,OFI_bvc,initiated,143,-0.015792,-1.3888,0.16705566489299975,0.1524,-0.012156,-2.0147,0.04582333396781202,0.0484
market_economy,Markets / Economy,XLE,OFI_bvc,initiated,175,0.048137,7.0349,4.390071459887732e-11,0.0,0.024782,3.0219,0.002891559048553434,0.0032
market_economy,Markets / Economy,USO,OFI_bvc,initiated,154,-0.017816,-2.0556,0.041520604196132314,0.042,-0.009554,-1.5428,0.12494815877686982,0.1228
market_economy,Markets / Economy,GLD,OFI_bvc,initiated,149,-0.017729,-2.6756,0.008298888495781129,0.0088,-0.02267,-3.0438,0.0027653995229093144,0.002
market_economy,Markets / Economy,UUP,OFI_bvc,initiated,143,0.01442,2.6171,0.009828539465933584,0.0132,0.02042,3.4533,0.0007300326865638392,0.0012
market_economy,Markets / Economy,XLF,OFI_bvc,initiated,159,0.003977,0.6837,0.4951921876220102,0.4948,-0.030452,-2.8388,0.005124094385912559,0.004
market_economy,Markets / Economy,XLK,OFI_bvc,initiated,147,-0.029986,-4.036,8.740268800161654e-05,0.0,-0.017266,-3.5901,0.0004507111289667785,0.0008
djt_media,DJT / Media,DJT,OFI_bvc,initiated,76,0.001939,0.546,0.586655498653917,0.5552,-0.024202,-2.213,0.02994204564322868,0.0456
djt_media,DJT / Media,VXX,OFI_bvc,initiated,83,0.001732,0.2231,0.823989346578993,0.8368,0.039651,1.8185,0.07263852580767975,0.0784
djt_media,DJT / Media,SPY,OFI_bvc,initiated,78,-0.009092,-1.4254,0.1580770668633715,0.17,-0.020784,-1.3983,0.16603927198120436,0.1616
djt_media,DJT / Media,QQQ,OFI_bvc,initiated,79,-0.018696,-2.8393,0.005762005585235633,0.0064,-0.020037,-1.1181,0.2669684655231036,0.2636
djt_media,DJT / Media,XLE,OFI_bvc,initiated,78,-0.002673,-0.5752,0.5668236645563034,0.57,-0.006732,-1.1673,0.24669707397771817,0.2232
djt_media,DJT / Media,USO,OFI_bvc,initiated,80,-0.007419,-0.8411,0.4028380400514565,0.392,-0.007328,-0.6167,0.5391868979087702,0.5304
djt_media,DJT / Media,GLD,OFI_bvc,initiated,79,-0.012158,-1.5583,0.12320214454548711,0.1216,-0.007164,-0.4924,0.623843917240867,0.6572
djt_media,DJT / Media,UUP,OFI_bvc,initiated,62,0.023142,2.6256,0.010918425151120736,0.012,0.020256,1.7279,0.08905814959857765,0.0804
djt_media,DJT / Media,XLF,OFI_bvc,initiated,76,-0.007015,-1.3339,0.18627173714915707,0.1884,0.009165,0.7398,0.46175332162508,0.4396
djt_media,DJT / Media,XLK,OFI_bvc,initiated,80,-0.010057,-1.6023,0.11308818917176033,0.1084,-0.028818,-1.5651,0.12154775724644902,0.1488
