burst_id,burst_ts_anchor,minute_offset,cum_pct_return,price_close,anchor_price,in_stat_window
1,2026-02-02T18:45:00+00:00,0,0.0,74.79,74.79,True
1,2026-02-02T18:45:00+00:00,5,-0.3075,74.56,74.79,True
1,2026-02-02T18:45:00+00:00,10,-0.1471,74.68,74.79,True
1,2026-02-02T18:45:00+00:00,15,-0.2246,74.622,74.79,True
1,2026-02-02T18:45:00+00:00,20,-0.2942,74.57,74.79,True
1,2026-02-02T18:45:00+00:00,25,-0.2006,74.64,74.79,True
1,2026-02-02T18:45:00+00:00,30,-0.0669,74.74,74.79,True
1,2026-02-02T18:45:00+00:00,35,0.2674,74.99,74.79,False
1,2026-02-02T18:45:00+00:00,40,0.5883,75.23,74.79,False
1,2026-02-02T18:45:00+00:00,45,0.361,75.06,74.79,False
1,2026-02-02T18:45:00+00:00,50,0.2407,74.97,74.79,False
1,2026-02-02T18:45:00+00:00,55,0.2139,74.95,74.79,False
1,2026-02-02T18:45:00+00:00,60,0.2273,74.96,74.79,False
2,2026-02-02T18:45:00+00:00,0,0.0,74.79,74.79,True
2,2026-02-02T18:45:00+00:00,5,-0.3075,74.56,74.79,True
2,2026-02-02T18:45:00+00:00,10,-0.1471,74.68,74.79,True
2,2026-02-02T18:45:00+00:00,15,-0.2246,74.622,74.79,True
2,2026-02-02T18:45:00+00:00,20,-0.2942,74.57,74.79,True
2,2026-02-02T18:45:00+00:00,25,-0.2006,74.64,74.79,True
2,2026-02-02T18:45:00+00:00,30,-0.0669,74.74,74.79,True
2,2026-02-02T18:45:00+00:00,35,0.2674,74.99,74.79,False
2,2026-02-02T18:45:00+00:00,40,0.5883,75.23,74.79,False
2,2026-02-02T18:45:00+00:00,45,0.361,75.06,74.79,False
2,2026-02-02T18:45:00+00:00,50,0.2407,74.97,74.79,False
2,2026-02-02T18:45:00+00:00,55,0.2139,74.95,74.79,False
2,2026-02-02T18:45:00+00:00,60,0.2273,74.96,74.79,False
3,2026-02-02T18:45:00+00:00,0,0.0,74.79,74.79,True
3,2026-02-02T18:45:00+00:00,5,-0.3075,74.56,74.79,True
3,2026-02-02T18:45:00+00:00,10,-0.1471,74.68,74.79,True
3,2026-02-02T18:45:00+00:00,15,-0.2246,74.622,74.79,True
3,2026-02-02T18:45:00+00:00,20,-0.2942,74.57,74.79,True
3,2026-02-02T18:45:00+00:00,25,-0.2006,74.64,74.79,True
3,2026-02-02T18:45:00+00:00,30,-0.0669,74.74,74.79,True
3,2026-02-02T18:45:00+00:00,35,0.2674,74.99,74.79,False
3,2026-02-02T18:45:00+00:00,40,0.5883,75.23,74.79,False
3,2026-02-02T18:45:00+00:00,45,0.361,75.06,74.79,False
3,2026-02-02T18:45:00+00:00,50,0.2407,74.97,74.79,False
3,2026-02-02T18:45:00+00:00,55,0.2139,74.95,74.79,False
3,2026-02-02T18:45:00+00:00,60,0.2273,74.96,74.79,False
4,2026-02-04T15:35:00+00:00,-60,0.2748,76.62,76.41,False
4,2026-02-04T15:35:00+00:00,-55,0.3926,76.71,76.41,False
4,2026-02-04T15:35:00+00:00,-50,0.5497,76.83,76.41,False
4,2026-02-04T15:35:00+00:00,-45,0.3861,76.705,76.41,False
4,2026-02-04T15:35:00+00:00,-40,0.157,76.53,76.41,False
4,2026-02-04T15:35:00+00:00,-35,0.1309,76.51,76.41,False
4,2026-02-04T15:35:00+00:00,-30,0.3926,76.71,76.41,True
4,2026-02-04T15:35:00+00:00,-25,0.4188,76.73,76.41,True
4,2026-02-04T15:35:00+00:00,-20,0.4711,76.77,76.41,True
4,2026-02-04T15:35:00+00:00,-15,0.4747,76.7727,76.41,True
4,2026-02-04T15:35:00+00:00,-10,0.4581,76.76,76.41,True
4,2026-02-04T15:35:00+00:00,-5,0.1047,76.49,76.41,True
4,2026-02-04T15:35:00+00:00,0,0.0,76.41,76.41,True
4,2026-02-04T15:35:00+00:00,5,0.3926,76.71,76.41,True
4,2026-02-04T15:35:00+00:00,10,0.2487,76.6,76.41,True
4,2026-02-04T15:35:00+00:00,15,0.445,76.75,76.41,True
4,2026-02-04T15:35:00+00:00,20,0.2356,76.59,76.41,True
4,2026-02-04T15:35:00+00:00,25,-0.0785,76.35,76.41,True
4,2026-02-04T15:35:00+00:00,30,0.0654,76.46,76.41,True
4,2026-02-04T15:35:00+00:00,35,-0.0393,76.38,76.41,False
4,2026-02-04T15:35:00+00:00,40,-0.1963,76.26,76.41,False
4,2026-02-04T15:35:00+00:00,45,-0.0916,76.34,76.41,False
4,2026-02-04T15:35:00+00:00,50,0.0,76.41,76.41,False
4,2026-02-04T15:35:00+00:00,55,0.2225,76.58,76.41,False
4,2026-02-04T15:35:00+00:00,60,0.2748,76.62,76.41,False
5,2026-02-10T23:50:00+00:00,-60,-0.3976,77.65,77.96,False
5,2026-02-10T23:50:00+00:00,-50,0.0921,78.0318,77.96,False
5,2026-02-10T23:50:00+00:00,-45,-0.0449,77.925,77.96,False
5,2026-02-10T23:50:00+00:00,-40,-0.0513,77.92,77.96,False
