topic_label,DJT,GLD,QQQ,SPY,USO,UUP,VXX,XLE,XLF,XLK
DJT / Media,0.001939,-0.012158,-0.018696,-0.009092,-0.007419,0.023142,0.001732,-0.002673,-0.007015,-0.010057
Energy / Oil,-0.021199,-0.013126,-0.011332,-0.00922,-0.022253,0.021077,0.001379,0.048342,0.010341,-0.030457
Iran / Military,-0.012333,-0.005102,-0.006911,-0.005082,-0.01075,0.012698,0.002452,0.033147,0.003838,-0.014494
Markets / Economy,-0.022892,-0.017729,-0.015792,-0.009212,-0.017816,0.01442,-0.002278,0.048137,0.003977,-0.029986
Tariffs / Trade,-0.007691,-0.027202,-3.7e-05,0.014974,-0.012256,0.010069,-0.013959,0.009583,0.01237,-0.006428
