date_et,uso_close,xle_close
2026-01-26,73.4800033569336,49.20000076293945
2026-01-27,75.66000366210938,49.65999984741211
2026-01-28,76.62550354003906,50.029998779296875
2026-01-29,79.13999938964844,50.5099983215332
2026-01-30,79.52999877929688,50.375
2026-02-02,75.33000183105469,50.04999923706055
2026-02-03,77.4749984741211,51.65999984741211
2026-02-04,77.86000061035156,52.81999969482422
2026-02-05,76.69999694824219,52.22999954223633
2026-02-06,76.98500061035156,53.23500061035156
2026-02-09,78.0250015258789,53.625
2026-02-10,78.01000213623047,53.58000183105469
2026-02-11,78.9000015258789,54.97999954223633
2026-02-12,76.36000061035156,53.959999084472656
2026-02-13,76.22000122070312,54.349998474121094
2026-02-17,75.69999694824219,53.7599983215332
2026-02-18,79.41000366210938,54.779998779296875
2026-02-19,81.20999908447266,55.17499923706055
2026-02-20,80.83999633789062,54.900001525878906
2026-02-23,80.9000015258789,55.150001525878906
2026-02-24,80.76000213623047,55.11000061035156
2026-02-25,79.69999694824219,54.8650016784668
2026-02-26,79.77999877929688,55.04999923706055
2026-02-27,81.93000030517578,55.90999984741211
2026-03-02,87.18099975585938,57.025001525878906
2026-03-03,90.18000030517578,56.529998779296875
2026-03-04,91.54000091552734,56.18000030517578
2026-03-05,96.33999633789062,56.5
2026-03-06,108.91999816894531,56.560001373291016
2026-03-09,104.23999786376953,56.32590103149414
2026-03-10,105.94999694824219,55.61000061035156
2026-03-11,108.04989624023438,57.0
2026-03-12,118.37000274658203,57.52000045776367
2026-03-13,119.87999725341797,57.689998626708984
2026-03-16,115.0199966430664,57.900001525878906
2026-03-17,118.83999633789062,58.509700775146484
2026-03-18,121.62999725341797,58.43000030517578
2026-03-19,117.37000274658203,59.380001068115234
2026-03-20,121.44000244140625,59.34000015258789
2026-03-23,110.52999877929688,59.61000061035156
2026-03-24,114.53500366210938,60.82500076293945
2026-03-25,113.38999938964844,60.58000183105469
2026-03-26,117.30000305175781,61.529998779296875
2026-03-27,124.16999816894531,62.560001373291016
2026-03-30,129.8350067138672,61.959999084472656
2026-03-31,127.24500274658203,61.2400016784668
2026-04-01,124.0999984741211,58.974998474121094
2026-04-02,137.74000549316406,59.2599983215332
2026-04-06,138.91000366210938,59.68000030517578
2026-04-07,138.08990478515625,60.15999984741211
2026-04-08,124.4800033569336,58.06999969482422
2026-04-09,126.97000122070312,57.34000015258789
2026-04-10,124.83000183105469,56.939998626708984
2026-04-13,128.47000122070312,57.125
2026-04-14,123.88999938964844,55.91999816894531
2026-04-15,122.63999938964844,55.7599983215332
2026-04-16,125.8499984741211,56.595001220703125
2026-04-17,116.12000274658203,54.9900016784668
2026-04-20,121.33999633789062,55.08000183105469
2026-04-21,128.24000549316406,55.849998474121094
