topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
market_economy,Markets / Economy,QQQ,OFI_bvc,all,179,0.050987,2.8367,0.005087310388918436,0.0036,-0.016017,-2.6416,0.008985451320548402,0.0104
market_economy,Markets / Economy,XLE,OFI_bvc,all,179,0.042772,4.9114,2.038266652016623e-06,0.0,0.019944,2.339,0.02044623666372493,0.0248
market_economy,Markets / Economy,USO,OFI_bvc,all,179,-0.022037,-2.3817,0.018286927631387284,0.016,-0.015098,-2.4501,0.01524789455670116,0.0144
market_economy,Markets / Economy,GLD,OFI_bvc,all,179,0.00438,0.5488,0.5838527039460824,0.5568,-0.021861,-3.0687,0.0024862569010878294,0.0036
market_economy,Markets / Economy,UUP,OFI_bvc,all,179,-0.005424,-0.8742,0.38316081429242976,0.3876,0.016531,3.4721,0.0006481919794295123,0.0008
market_economy,Markets / Economy,XLF,OFI_bvc,all,179,0.027118,2.9501,0.003603852064347256,0.004,-0.034124,-3.3926,0.0008532640541022314,0.0004
market_economy,Markets / Economy,XLK,OFI_bvc,all,179,0.041095,2.6412,0.008995657731746364,0.0068,-0.016896,-3.8377,0.00017231902077682098,0.0
djt_media,DJT / Media,DJT,OFI_bvc,all,90,-0.015353,-1.6685,0.09873377351707291,0.1004,-0.03513,-2.6124,0.010552079506382851,0.0172
djt_media,DJT / Media,VXX,OFI_bvc,all,91,0.000925,0.0787,0.9374525644707943,0.954,0.034529,1.5903,0.11527935772514769,0.1284
djt_media,DJT / Media,SPY,OFI_bvc,all,91,-0.010314,-0.8354,0.40570149954300316,0.396,-0.033475,-1.6357,0.10539483983370541,0.1228
djt_media,DJT / Media,QQQ,OFI_bvc,all,91,-0.020289,-1.5738,0.1190418917335603,0.1004,-0.015865,-0.824,0.4121188332325898,0.4088
djt_media,DJT / Media,XLE,OFI_bvc,all,91,0.016207,1.4734,0.14412741283058333,0.1644,-0.014517,-1.107,0.27122742528530297,0.2696
djt_media,DJT / Media,USO,OFI_bvc,all,91,-0.004167,-0.4341,0.6652696426839415,0.6688,-0.023828,-1.6186,0.10904235263088559,0.1148
djt_media,DJT / Media,GLD,OFI_bvc,all,91,-0.01169,-1.1125,0.26886505991671,0.2544,-0.00368,-0.2439,0.8078741760621782,0.804
djt_media,DJT / Media,UUP,OFI_bvc,all,90,0.012455,1.5026,0.13648419550613608,0.1264,0.01432,1.5761,0.1185506224538115,0.1224
djt_media,DJT / Media,XLF,OFI_bvc,all,91,-0.020888,-2.3149,0.022894800194386923,0.032,-0.010683,-0.6271,0.5321664978274124,0.5132
djt_media,DJT / Media,XLK,OFI_bvc,all,91,-0.012041,-0.9381,0.3507166896696845,0.3324,-0.034131,-1.8294,0.0706546935211584,0.0828
