date_et,xle_close
2026-01-26,49.20000076293945
2026-01-27,49.65999984741211
2026-01-28,50.029998779296875
2026-01-29,50.5099983215332
2026-01-30,50.375
2026-02-02,50.04999923706055
2026-02-03,51.65999984741211
2026-02-04,52.81999969482422
2026-02-05,52.22999954223633
2026-02-06,53.23500061035156
2026-02-09,53.625
2026-02-10,53.58000183105469
2026-02-11,54.97999954223633
2026-02-12,53.959999084472656
2026-02-13,54.349998474121094
2026-02-17,53.7599983215332
2026-02-18,54.779998779296875
2026-02-19,55.17499923706055
2026-02-20,54.900001525878906
2026-02-23,55.150001525878906
2026-02-24,55.11000061035156
2026-02-25,54.8650016784668
2026-02-26,55.04999923706055
2026-02-27,55.90999984741211
2026-03-02,57.025001525878906
2026-03-03,56.529998779296875
2026-03-04,56.18000030517578
2026-03-05,56.5
2026-03-06,56.560001373291016
2026-03-09,56.32590103149414
2026-03-10,55.61000061035156
2026-03-11,57.0
2026-03-12,57.52000045776367
2026-03-13,57.689998626708984
2026-03-16,57.900001525878906
2026-03-17,58.509700775146484
2026-03-18,58.43000030517578
2026-03-19,59.380001068115234
2026-03-20,59.34000015258789
2026-03-23,59.61000061035156
2026-03-24,60.82500076293945
2026-03-25,60.58000183105469
2026-03-26,61.529998779296875
2026-03-27,62.560001373291016
2026-03-30,61.959999084472656
2026-03-31,61.2400016784668
2026-04-01,58.974998474121094
2026-04-02,59.2599983215332
2026-04-06,59.68000030517578
2026-04-07,60.15999984741211
2026-04-08,58.06999969482422
2026-04-09,57.34000015258789
2026-04-10,56.939998626708984
2026-04-13,57.125
2026-04-14,55.91999816894531
2026-04-15,55.7599983215332
2026-04-16,56.595001220703125
2026-04-17,54.9900016784668
2026-04-20,55.08000183105469
2026-04-21,55.849998474121094
