id,label,post_count
topic_iran_military,Iran / Military,284
topic_market_economy,Markets / Economy,179
topic_energy_oil,Energy / Oil,173
topic_tariff_trade,Tariffs / Trade,95
topic_djt_media,DJT / Media,91
topic_china,China,19
topic_fed_rates,Fed / Rates,17
topic_crypto,Crypto,1
