post_id,ts,pre_sv,pre_vpinz,entry_price,exit_price,pnl,pre_car_z,initiated
115963236796090298,2026-01-26 20:16:09.346000+00:00,-19699.0,-1.8638534843782553,73.37000274658203,73.515,-2856.3008950805774,0.17336741387440407,True
115963259137242895,2026-01-26 20:21:50.243000+00:00,-639129.0,-1.7587068910582273,73.29000091552734,73.4697,-114850.89615992631,-0.03472686250531914,True
115964309300790101,2026-01-27 00:48:54.477000+00:00,0.0,-0.8290226345895214,73.5304,73.21,-0.0,1.262190529835047,True
115969943597305015,2026-01-28 00:41:46.944000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115969963682592720,2026-01-28 00:46:53.418000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115969971098103360,2026-01-28 00:48:46.572000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115969989606605553,2026-01-28 00:53:28.988000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115970009433933657,2026-01-28 00:58:31.529000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115970033433071326,2026-01-28 01:04:37.730000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115970244299178641,2026-01-28 01:58:15.291000+00:00,0.0,-0.0545650588028192,75.6399,75.16,-0.0,-0.0002463740681596684,True
115996876595468758,2026-02-01 18:51:11.880000+00:00,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219,-3558560.662689209,0.5311664770015095,True
115996877078140560,2026-02-01 18:51:19.248000+00:00,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219,-3558560.662689209,0.5311664770015095,True
115996877735403531,2026-02-01 18:51:29.276000+00:00,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219,-3558560.662689209,0.5311664770015095,True
115996878303059833,2026-02-01 18:51:37.935000+00:00,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219,-3558560.662689209,0.5311664770015095,True
115996878882880603,2026-02-01 18:51:46.783000+00:00,776978.0,1.7641613254475317,79.52999877929688,74.94999694824219,-3558560.662689209,0.5311664770015095,True
